name	id	x_pca	y_pca	z_pca	x_tsne	y_tsne	z_tsne	x_k2	y_k2	z_k2	cl_pca	cl_tsne	cl_k2	cl_kn
a argument is not necessarily a sound argument	29	-0.3575023	-0.04187118	-0.12792051	-105.36064	155.88048	-11.78256	0.04662479	-0.151185	-0.13291737	-1	-1	0	-1
refer to groups	118	0.9687969	-0.1802027	0.85473627	90.56805	177.09178	-16.716574	-0.19111434	0.3146022	0.100156404	-1	-1	-1	-1
is shelled within the mind of the individual and hence can not be seen by others immediately	101	1.4522436	1.4206557	1.762172	115.939896	93.68427	-167.0842	-0.44857204	-0.2371672	-0.37318757	-1	-1	0	-1
is the quality of a statement being true or accurate	144	-0.45783746	0.42186242	-0.72672814	122.80365	-119.80437	-91.671	-0.06361695	-0.23418644	0.16528323	-1	-1	0	-1
is only limited to telling the truth	112	0.88199604	-0.78627986	-0.090723574	-36.64057	-127.37641	-153.96555	0.7002216	0.067540504	0.4452032	-1	-1	-1	-1
refers to only that portion of the property and/or components of it that are the subject of the lease / sale	91	-0.7356578	0.20443764	0.5419917	-19.602072	104.73297	185.46857	0.5396768	0.52590114	0.108141385	-1	-1	1	-1
on the other hand makes one to do a particular thing even if the world is watching	132	0.62303936	0.46572646	0.9066373	141.46297	-2.9355798	148.00815	-0.51993805	0.3196466	0.25100842	-1	-1	-1	-1
a in an argument is the main point the arguer is trying to prove	59	-0.41602257	0.23304237	0.08673431	53.604763	52.7098	17.149994	0.020229587	-0.49323693	0.7242332	-1	-1	-1	-1
refer to individuals	60	1.2256129	-0.38156506	1.1236074	48.144817	184.01938	-37.696182	-0.19049756	0.21492347	0.09558961	-1	-1	0	-1
when the conclusion follows logically from the premises	0	-0.47402385	-0.43281686	-0.021159505	-43.07946	131.79951	49.118584	-0.6678836	-0.5008371	0.73780406	-1	-1	-1	-1
impresses us for it is felt externally	70	-0.16123019	0.45640773	1.4348525	-6.644653	-11.750332	-134.6578	-0.47431684	0.3538053	0.32426646	-1	-1	-1	-1
concrete terms	48	2.0461788	-1.206061	0.58493626	-47.2936	-77.13069	106.1353	-0.4856274	-0.23178886	-0.37311035	-1	-1	0	-1
an , on the other hand , is also a type of reason that specifically justifies or defends a fault	82	-0.17175834	-0.1928424	-0.34243298	103.21689	18.913557	38.027374	0.49234778	0.2882114	0.1621367	-1	-1	1	-1
is the power of the mind to think , understand , and form judgments logically	139	-0.6992124	-0.106920704	-0.81803465	80.97817	78.93479	100.57454	0.49870545	0.2773381	0.181247	-1	-1	1	-1
in , the experience is the origin of knowledge	56	-0.734763	-0.30572173	-0.43337223	-179.92342	-87.24099	16.936092	0.66349655	-0.5444788	0.62054724	-1	-1	-1	-1
a always has true premises and true conclusions	89	1.7146963	-1.0609246	-1.5740585	-167.95352	82.944435	-27.647972	-0.116528295	-0.23160473	-0.36980048	-1	-1	0	-1
can not be challenged	26	-0.92263323	-0.07697957	0.016374027	20.830738	-95.54559	178.21916	0.36449966	-0.07893456	0.19494072	-1	-1	-1	-1
has nothing to do with judgment , conception , reasoning and intuition for that matter	84	-0.75937706	-0.29019466	0.4698185	-59.944828	22.834267	-44.579952	0.40545115	-0.40095198	0.51839453	-1	-1	-1	-1
reason	44	1.5974789	0.108481176	0.1354055	60.17064	-84.73818	-88.34527	0.37352479	0.11875891	-0.10794071	-1	-1	1	-1
attitude	129	1.9891804	1.6788329	0.2454605	104.700195	-82.733734	-164.03603	-0.5437675	-0.23124905	-0.3703209	-1	-1	-1	-1
refer to objects or events that are available to the senses	72	1.9601941	-1.3176925	0.99132323	206.41501	5.1442404	-94.043724	-0.3876051	-0.22434396	-0.36975312	-1	-1	0	-1
tells us about the real nature of a particular thing , experience , existence and the like	67	-0.603295	0.21531884	-0.7063019	70.98182	-45.936882	-16.511787	-0.057288803	-0.07785998	0.16118683	-1	-1	0	-1
is the transportation of water and minerals from the root to aerial parts of the plant through the xylem	133	-0.4067639	-0.22314121	-0.112426914	-84.9352	-165.17984	-84.21909	-0.114815876	-0.5568154	0.55408365	-1	-1	-1	-1
an argument is invalid and/or has at least one false premises	136	-0.31735417	-0.08693289	0.35900852	-152.54094	-18.849483	108.18259	0.37895396	0.22662134	-0.14759667	-1	-1	1	-1
is the way how a person understands something and different people may have different perceptions for the same thing	105	-0.08123477	0.40273935	-0.048756998	118.35774	-1.1582186	-35.413578	-0.22485738	-0.17402911	0.01079613	-1	-1	0	-1
behavior	86	1.9282517	2.0146694	0.8391426	-109.27837	-466.82593	-50.58506	-0.44461882	-0.23502879	-0.37358356	-1	-1	0	-1
is liable to change according to the situation . It is after all a kind of surface emotion	120	-0.0571945	0.3801225	0.6344575	104.67768	65.76886	-51.09782	-0.4760989	0.32267043	0.31620952	-1	-1	-1	-1
can change in a short period of time	138	-0.065342866	0.539288	0.321546	-2.5768235	60.68807	-115.39303	-0.45204398	-0.064635135	0.17200896	-1	-1	-1	-1
specific terms	5	1.2039654	-0.7839389	1.6294978	115.05292	80.71855	11.644706	-0.21664305	0.12150337	-0.2262087	-1	-1	-1	-1
are not opposites	71	-0.36877406	0.37521276	0.04965058	-44.44552	94.230705	-74.46955	-0.19546974	0.21021828	0.41929707	-1	-1	-1	-1
refer to land and buildings on it	64	-0.3139472	-0.07573812	0.11107694	175.4895	22.732286	-25.798794	0.3275152	0.5741352	0.11132189	-1	-1	1	-1
is the very essence of a particular man . It is indeed what the person is within . It is not liable to change	35	0.11861024	0.21080647	0.68456155	-105.86279	110.51009	-134.66248	-0.49907547	0.32742727	0.3089736	-1	-1	-1	-1
: An excuse is a type of reason that specifically justifies or defends a fault	78	-0.56474066	0.14990923	-0.35174608	108.07327	-56.296207	62.742477	0.47015253	0.28528547	0.42924914	-1	-1	1	-1
character	95	0.4476863	0.06052635	0.55829525	41.736507	-186.42961	77.47289	-0.5883827	0.16118993	-0.23045233	-1	-1	-1	-1
is always based on reality	40	-0.5228944	0.11436229	-0.16757359	-10.494917	-99.59321	48.512096	-0.19140515	-0.9444594	-0.06326196	-1	-1	-1	-1
the is determined by various factors such as common sense , personal experience , investigation , etc .	142	-0.29149833	0.13457823	-0.4045718	83.677795	121.91459	41.86783	-0.67021084	-0.497429	0.73183066	-1	-1	-1	-1
a simply refers to a cause or explanation . It explains why someone did something or why something happened	2	-0.5896217	-0.07845051	-0.19269213	154.64748	113.53728	70.32122	0.4908459	0.29283637	0.1556586	-1	-1	1	-1
is the transportation of foods / carbohydrates from leaves to other parts of the plant through the phloem	143	-0.40704906	-0.04854248	-0.6324438	116.3813	-89.44101	-30.080694	-0.11519109	-0.2548577	0.17868336	-1	-1	-1	-1
that build up good character include courage , patience , fortitude , integrity , honesty , loyalty and good habits	18	-0.5696809	-0.068686455	0.209857	14.577832	-98.18289	-33.412254	-0.6191691	0.59899646	0.58929276	-1	-1	-1	-1
can very well be seen by others as it is external	125	0.8923579	0.94964105	0.52492744	122.78183	0.88481444	-181.43791	-0.4493555	-0.23432805	-0.36663848	-1	-1	0	-1
is a noun	98	-0.701374	-0.24126542	0.113521814	14.734797	-192.58473	-83.426056	0.5101655	0.29271695	0.13230486	-1	-1	1	-1
: The main function is to justify or defend a fault	76	0.8641188	-0.35361236	0.45295793	-29.304796	-153.00548	-40.089634	0.13984689	0.21616654	0.09684081	-1	-1	1	-1
the potter ’s wheel is the in the making of a pot	45	-0.75895125	-0.25920898	0.32930654	-127.44442	143.09096	57.686817	0.39907196	0.514611	0.5428782	-1	-1	-1	-1
is internal	15	1.9430816	1.701627	-0.2278394	-19.922384	124.69117	-146.82048	-0.3170486	-0.22690211	-0.36958262	-1	-1	0	-1
a is an argument that is valid and has true premises	96	1.0870306	-0.47255152	-1.2407515	180.22577	-92.27452	78.3479	-0.117033854	-0.1575419	-0.13915038	-1	-1	0	-1
an may have both false and true premises and conclusions	33	1.5124484	-1.0595738	-1.6424972	77.624214	-135.74834	-35.100815	-0.11412349	-0.23108311	-0.3694767	-1	-1	0	-1
is generally used in cases where there is a limited choice	109	-0.87846833	-0.37898317	-0.34865445	-79.73364	-5.2987857	111.373726	0.53476864	-0.40041563	0.14385217	-1	-1	-1	-1
refer to ideas or concepts ; they have no physical referents	108	1.2755333	-0.92289674	0.9650457	-42.756386	-53.69294	162.42538	-0.3902206	-0.22129238	-0.36796975	-1	-1	0	-1
a is self existent or something that has been existent right from the past	99	-0.8274744	0.23028542	-0.18203953	-111.357285	109.00979	-61.541924	-0.054963324	0.35326082	-0.3924959	-1	-1	-1	-1
refers to anything that is owned by a person or an entity	69	-0.2648214	0.23368903	0.23535997	-45.972164	179.63002	-68.37218	0.32908484	0.58033746	0.10954404	-1	-1	1	-1
is a property of arguments	9	1.2336736	1.785042	-0.35079083	55.50107	71.22372	-105.2571	-0.058101825	-0.22510329	-0.36906475	-1	-1	0	-1
an argument is when its conclusion follows logically from the premises	146	-0.3924925	-0.14279607	-0.39120856	59.413765	88.518936	170.15565	0.033148352	-0.30883682	0.18119359	-1	-1	0	-1
the proceeds from specific premises to a general conclusion	11	-0.37476426	0.012825006	-0.4729811	-100.29066	-96.91551	-118.26185	0.42416617	0.84148353	-0.037292648	-1	-1	-1	-1
is used when the choice is bigger	66	-0.6350165	-0.5360057	-0.060813926	27.956085	-78.93986	-148.46896	0.53689593	0.27788037	0.163934	-1	-1	1	-1
a is the one that produces the effect . For example you can say that a typical virus is the cause of the disease of chickenpox . It is understood that the particular virus produces the effect called chickenpox . Hence anything that produces an effect is called a cause	24	0.70740736	0.24037498	0.60864407	161.18568	59.417778	123.253716	0.36848825	0.067244135	0.44223788	-1	-1	-1	-1
is the opinion or the method by which one approaches a given situation	43	0.31870237	0.1255999	0.33545458	-70.46993	61.030594	-173.21367	-0.5951104	0.78612417	0.09524301	-1	-1	-1	-1
is an existent fact	14	-0.7508016	0.58195966	0.076959245	111.66753	131.43555	-81.88009	-0.05789124	-0.062146295	0.06860711	-1	-1	0	-1
a is a statement that provides evidence or reasons to form a conclusion ; an argument can have more than one premise	81	-0.709942	0.15530807	0.35893407	-172.55835	-86.03355	-104.1222	0.023763122	-0.4833646	0.7110471	-1	-1	-1	-1
has special application in the subject of philosophy . Reason is the faculty or the capacity of the human mind by which it is distinguished from the intelligence of the lower animals . Hence reason includes judgment , conception , reasoning and intuition too	116	-0.7389441	-0.0042926488	-0.88861257	-80.14354	-29.656672	-113.35335	0.4059074	0.050555885	0.4544273	-1	-1	-1	-1
can be challenged . Truth can be challenged because it is characterized by facts . Facts can always be challenged and disproved . It is important to note that proven facts are more in number though	25	-0.74948	0.6378684	-0.47633716	153.70667	40.374386	40.306553	-0.04931349	-0.081520185	0.16580622	-1	-1	0	-1
can be sometimes based on falsehood	115	-0.52150756	0.0026361845	0.09174823	9.019247	-49.044193	4.378407	-0.18389162	-0.9461718	-0.054488912	-1	-1	-1	-1
: A reason merely explains something	4	-0.71420753	-0.14879794	-0.65570647	84.092476	17.133852	108.04358	0.46525237	0.27771825	0.43596762	-1	-1	1	-1
are not felt simply because they are well within an individual	53	-0.6434662	-0.19335803	0.4851083	26.629774	-17.847244	64.21635	-0.16838421	0.7388126	0.3369479	-1	-1	-1	-1
can be either tangible , intangible , movable or immovable while premises refers to tangible and immovable property . In real estate , property refers to the entirety of the land , buildings , structures , machinery , equipment , etc . , owned by the landowner	49	-0.6774104	-0.042557675	0.14938274	-32.58123	145.45567	-26.865005	0.54621035	0.56706685	0.110094704	-1	-1	1	-1
as are	50	-0.44410282	0.13816386	0.2168484	-56.45921	-156.90918	62.228897	-0.1922559	0.15781942	0.4323206	-1	-1	-1	-1
means good enough or something that is sufficient for a need or requirement	110	-0.71606064	-0.041712742	-0.2080726	-112.443474	-110.518776	39.963867	-0.6358383	0.80304354	-0.0452452	-1	-1	-1	-1
auguste Comte and Émile Durkheim are two prominent figures in	23	-0.4672934	0.12705046	-0.16655304	57.226704	-202.19652	-3.8870382	-0.023574937	-0.5515152	0.6209373	-1	-1	-1	-1
we can sense the of others in a short period of time	103	-0.36939138	0.5589476	0.4848216	50.557076	137.40146	-143.16405	-0.4968537	0.39776796	0.4204045	-1	-1	-1	-1
the , on the other hand , is the state of things as they are . Reality includes everything around us , those that can be seen and those that can not be seen . It includes our views , attitudes , life , those who surround us and almost every aspect	128	-0.97864294	0.13061753	-0.48115262	71.814285	-27.578838	24.668486	-0.053347502	-0.07406202	0.16316883	-1	-1	0	-1
is the systematic study of the form of arguments	34	0.01922627	-0.0070054955	-0.44685337	35.890984	-162.44838	-105.99397	0.5104655	0.27906582	0.16996308	-1	-1	1	-1
is a theory that states that the origin of all knowledge is sense experience ( visual , auditory , tactile , gustatory and olfactory sensation )	113	-0.8911278	-0.05865729	-0.6492822	-191.42609	-56.48485	45.75181	0.66893685	-0.5319555	0.61120063	-1	-1	-1	-1
refer to land and buildings and other structures on it	63	-0.73751557	0.41084996	0.63945967	-13.898751	35.967793	-209.27554	0.32390743	0.5492646	0.11006747	-1	-1	1	-1
that build up bad character include falsehood , avarice , lust , dishonesty , immodesty and the like	94	-0.47521964	0.035713643	0.18955025	18.59803	115.68309	29.164104	-0.6261478	0.6056218	0.601444	-1	-1	-1	-1
john Locke , George Berkeley , John Stuart Mill , and David Hume are prominent	75	-0.44480178	-0.04036624	-0.0928684	40.19149	173.58395	47.509518	-0.06539338	-0.5501544	0.6261991	-1	-1	-1	-1
is a philosophical theory that states that the only authentic knowledge is scientific knowledge	17	-0.845331	-0.08284139	-0.08704631	56.825703	160.8171	118.3607	0.6915003	-0.34919685	0.6055149	-1	-1	-1	-1
in , knowledge can be verified through scientific methods and mathematical / logical proof ,	20	-0.68365914	-0.33931187	-0.0109658	-122.936584	105.29584	138.06842	0.665284	-0.5414282	0.6143728	-1	-1	-1	-1
is a property of premises and conclusions	92	0.49488568	1.2927346	-0.56596047	61.674156	-17.276714	-100.36872	-0.058677338	-0.21274799	-0.37285417	-1	-1	0	-1
general terms	114	1.2065499	-1.0594937	1.4217702	-193.71475	67.96535	53.990562	-0.21678624	0.1558892	-0.23529275	-1	-1	-1	-1
: The main function is not to justify , but to explain	31	0.5613391	-0.20981687	0.12393556	-29.815485	202.46962	24.961416	0.1389304	0.21911262	0.0943313	-1	-1	-1	-1
is an established fact	107	-0.13723974	0.96336174	-0.15505043	57.846874	10.1831455	-46.621216	-0.05640042	0.30061167	0.07057765	-1	-1	-1	-1
a argument is valid and has true premises	46	-0.2599529	-0.21818966	0.035231452	-64.344246	51.002335	154.72548	0.5408955	0.24310331	-0.15204945	-1	-1	1	-1
the phloem runs next to xylem , and it transports food prepared by photosynthesis from leaves to other plant body parts . Thus , this process is called	65	1.6433716	-1.1782961	-1.651218	103.59091	-138.74597	19.410643	-0.119738854	-0.23868755	-0.35989457	-1	-1	0	-1
for example mud is the in the making of a pot	47	-0.4904076	0.16229379	1.2647842	-64.09488	25.840227	41.007057	0.40260848	-0.40726262	0.52922565	-1	-1	-1	-1
what is found out in is what is given ultimately as truth	135	-0.7700753	0.23164326	-0.7090254	150.35847	-22.219145	43.84817	0.04572379	-0.07611701	0.1729999	-1	-1	0	-1
the refers to the process of drawing specific conclusions from general statements / observations	111	-0.6625885	-0.08627824	0.315913	-48.38139	-59.09608	-60.631073	0.19394365	0.58493346	0.0966432	-1	-1	-1	-1
: A reason simply refers to a cause or explanation	80	-0.73238254	0.07139173	-0.70462304	-21.560827	-45.95083	-196.8775	0.47325075	0.28164232	0.42238712	-1	-1	1	-1
hence needs the observance of reality	28	-0.23888175	0.8258241	-0.9021229	9.862787	-34.83462	-70.95241	0.17944463	-0.075921595	0.18834274	-1	-1	0	-1
is a noun and a verb	126	-0.62380755	-0.33712596	-0.64468896	-73.8674	-29.250374	-169.3587	0.49743295	0.28661287	0.14308545	-1	-1	1	-1
is the application of logic to understand and judge something	104	-0.7283243	-0.26028246	-0.7189447	49.62401	42.529922	82.69349	0.5110424	0.27432886	0.40491742	-1	-1	1	-1
cause	147	0.6031416	0.19007291	0.8385199	-137.80212	-132.31358	-34.553604	0.36867368	-0.087667175	0.4433414	-1	-1	-1	-1
an is an argument that is invalid or has at least one false premises	1	1.7831599	-1.3255694	-0.38682064	265.0909	76.72176	-52.44389	-0.119109415	-0.2385516	-0.3713161	-1	-1	0	-1
in the same way is the one that does not change its nature in the present and future too . It is always of the same nature	141	1.1698217	1.6015513	-1.5308994	155.97668	60.539932	-100.594864	-0.056425735	-0.2243315	-0.37201545	-1	-1	0	-1
, on the other hand , is the truth and the actual existence of something	68	-0.48094943	0.13300419	0.72778696	-9.31583	68.99368	-6.433323	-0.23381892	-0.16956714	0.05722415	-1	-1	0	-1
tells about the fact that has been invented or experimented	73	-0.8892137	0.77411324	-0.51983684	-143.78	0.80952144	-155.60086	-0.05430636	-0.0773736	0.16805306	-1	-1	0	-1
is a technical feature of an argument . It helps us to determine whether the conclusion of an argument is true	38	-0.06797679	-0.27970368	0.02209779	111.10779	-126.584854	101.3685	0.26417348	0.20290422	-0.14496022	-1	-1	-1	-1
can change its nature in due course . Many scientific truths were disproved in the past . The truth about the planetary motion was re - established later . Hence truth sometimes is bound to change	122	1.4325005	2.1918266	-1.3219805	-169.34566	-2.5692127	2.7708697	-0.058884677	-0.22809029	-0.3689868	-1	-1	0	-1
people can have numerous concerning their lives , such as to educate one ’s self , to be employed in a prestigious organization , to lead a beautiful life with a family , etc	12	-0.4919815	-0.002293587	0.13722192	9.698445	23.739485	14.686804	-0.19205141	-0.94324976	-0.057673894	-1	-1	-1	-1
xylem transports water and minerals from the root to aerial parts of the plant , and we call this process	16	1.3515363	-1.3051935	-0.6241191	160.93544	-136.95715	10.985935	-0.11554541	-0.23507793	-0.36319533	-1	-1	0	-1
it takes a long time for us to the in others	51	-0.3287638	0.40758255	0.39467028	-213.88568	29.252434	-34.11533	-0.48649272	0.39531782	0.41199148	-1	-1	-1	-1
proceeds from general premises to a specific conclusion	74	-0.8052431	0.018592833	0.012260095	-121.67937	-144.32988	102.28734	0.4229446	0.83627564	-0.030295081	-1	-1	-1	-1
, which generally refers to a building with the land surrounding it , is tangible and immovable property	134	-0.7536176	-0.36328688	0.43915465	-24.892483	-60.184807	-508.90662	0.55079013	0.5756702	0.12965274	-1	-1	1	-1
being honest	41	0.8772634	-0.66423434	-0.032860085	57.553104	-22.128044	166.6382	0.6981493	-0.088228084	0.44169196	-1	-1	-1	-1
excuse	119	0.9551273	0.13853365	0.99723166	-176.75449	-13.356947	-84.07174	0.113952905	0.11972463	-0.22337924	-1	-1	-1	-1
enough	55	-0.44150424	-0.14938797	-0.046283107	-48.36922	-81.41689	-410.49802	-0.72856265	0.6430047	-0.57367605	-1	-1	-1	-1
former	3	-0.86138636	-0.29186517	0.16634798	-113.360565	-4.2854004	184.39888	0.32166645	0.6896464	-0.5707158	-1	-1	-1	-1
property	7	-0.3107398	-0.12899211	0.13768676	-68.090546	36.91681	-107.1691	0.4530109	0.41776365	-0.42794198	-1	-1	-1	-1
truth	8	1.2362201	1.0082245	-0.31384262	172.0116	-61.880398	-85.94455	-0.15326305	-0.24419364	-0.3707781	-1	-1	0	-1
premises	39	-0.63623244	-0.10389635	0.31831685	-130.25714	41.91014	88.750626	0.23003569	0.3641916	-0.42724755	-1	-1	-1	-1
ascent of sap	27	1.7351614	-1.0428346	-0.5338793	-85.69134	-34.435623	-11.006351	-0.12087938	-0.23557179	-0.36785898	-1	-1	0	-1
empiricism	61	-0.49175766	-0.26314965	-0.1366612	13.132084	31.149548	141.2487	0.57082343	-0.6974854	0.07435319	-1	-1	-1	-1
reality	36	1.5177644	1.5580341	-0.402177	101.98933	32.121662	-119.339325	-0.15643586	-0.23225209	-0.37324783	-1	-1	0	-1
valid	62	-0.30653933	-0.008344834	-0.049429312	33.908375	70.22736	-175.48366	-0.061491262	-0.46268797	-0.6743223	-1	-1	-1	-1
truthfulness	30	0.8803287	-0.5607682	-0.009502666	93.115005	-54.31322	170.66295	0.6981653	0.0605822	-0.093490876	-1	-1	-1	-1
general terms and specific terms	127	-0.4096195	-0.38500485	0.013405948	-69.77992	77.95137	5.4822764	-0.3002452	0.050065693	-0.118744574	-1	-1	-1	-1
unsound argument	58	1.1605917	-0.7458054	-0.92224705	-120.02314	-55.306736	-41.314907	-0.12578681	-0.32031524	-0.38869268	-1	-1	0	-1
truth of a premise or a conclusion	131	-0.44870678	-0.36882925	0.031428277	-121.820335	33.64316	-64.281456	-0.7686769	-0.65190864	0.19516847	-1	-1	-1	-1
logic	42	-0.18110093	-0.30367532	0.076274626	48.561455	93.84232	-36.02493	0.41709107	0.1323884	-0.41487715	-1	-1	-1	-1
instrumental cause	54	-0.8668435	-0.45731443	-0.018289775	160.11092	119.79936	-16.17429	0.3006027	0.36318144	-0.0038214843	-1	-1	1	-1
validity	90	0.6399921	0.46201998	-0.62000006	-110.839325	12.577418	-0.6745951	-0.15823942	-0.38623485	-0.6569779	-1	-1	0	-1
which	117	-0.47273064	-0.24878888	-0.09231751	-192.30333	-169.01108	-159.116	0.43040562	-0.55639535	-0.3906107	-1	-1	-1	-1
discovery	106	-0.6315118	-0.45076004	0.18000412	0.547251	32.83014	-57.3966	-0.14759299	0.2078668	-0.93633765	-1	-1	-1	-1
premise	6	-0.82719606	-0.22154951	0.09742823	338.2396	14.844136	-184.96288	-0.06945398	-0.64249295	0.1662243	-1	-1	-1	-1
translocation	77	1.7411858	-1.0628234	-0.39293998	52.60331	-99.69371	29.980225	-0.21181281	-0.3903798	-0.37728533	-1	-1	0	-1
positivism	21	-0.29349086	-0.13813853	0.8597268	-28.265884	-2.1122491	-5.1985245	-0.12536544	-0.70247287	0.08040102	-1	-1	-1	-1
abstract and concrete terms	88	-0.52387404	-0.090225175	-0.13481802	63.135994	-60.661987	101.14089	-0.29439756	0.007813071	-0.10322148	-1	-1	-1	-1
sound argument	100	1.6907115	-1.1412382	-0.6487618	175.53304	-58.892414	-5.9324746	-0.2060509	-0.3102508	-0.3760815	-1	-1	0	-1
sound	19	-0.34793735	-0.056483917	0.25255385	-43.075798	-45.766895	42.94187	0.45281753	0.08357897	-0.68996775	-1	-1	-1	-1
virtues	130	-0.7539007	-0.10791439	0.09151567	-314.71088	94.1025	-18.563648	-0.7185529	0.4443441	0.056462724	-1	-1	-1	-1
knowledge	123	-0.55590475	-0.304723	0.009983976	-25.061644	9.432871	88.40765	-0.28203735	-1.1025846	-0.5981525	-1	-1	-1	-1
realty	85	-0.59400433	-0.2869826	-0.12149792	6.760062	106.310646	112.20973	-0.33022198	-0.33311322	-0.34949827	-1	-1	0	-1
attitudes	140	-0.6342711	-0.1562393	-0.036353763	-56.64537	165.10573	115.667145	-0.26951858	0.59103453	-0.2023102	-1	-1	-1	-1
material cause	13	-0.7100635	-0.22910582	0.069868356	31.91423	-121.52295	108.88032	0.30870104	-0.5791681	-0.004815847	-1	-1	-1	-1
perception	79	-0.44565868	-0.23396724	0.0048416085	-660.5669	17.68141	156.28331	-0.33279163	-0.33009762	-0.5367503	-1	-1	0	-1
sap	57	-0.57375246	0.1479969	-0.13087945	16.307947	133.0827	-77.8902	-0.21011597	-0.7130251	0.02274889	-1	-1	-1	-1
adequate	87	-1.0054458	0.10580864	-0.028246487	-61.01205	-100.87836	-5.3515186	-0.73077714	0.6501617	-0.5806687	-1	-1	-1	-1
vices	124	-0.86634946	-0.090088986	0.5246993	-66.674904	83.98516	91.43769	-0.71902835	0.44223437	0.060731914	-1	-1	-1	-1
conclusion	10	-0.4445798	0.03777994	0.024477141	2.806829	-143.09251	20.811293	-0.081045456	-0.64872354	0.18061574	-1	-1	-1	-1
inductive reasoning	102	-0.7443324	0.016659854	-0.07341302	-119.59463	74.57194	34.406277	0.3290782	0.6888509	-0.58097893	-1	-1	-1	-1
